STJ;BFS-Nr.;Gde Name;Anlage Gde NP;Anlage Gde JP;LSt;Mischsatz JP;reformiert;römisch-katholisch;christ-katholisch;gültig von;gültig bis;provisorisch/ definitiv;KG_Bezeichnung;Verwaltungskreis/ Amtsbezirk
2025;690;Court;1.94;1.94;1.5;0.2439;0.253;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;691;Crémines;1.94;1.94;1.3;0.2304;0.25;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;692;Eschert;1.94;1.94;1;0.2307;0.25;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;694;Grandval;1.74;1.74;1.2;0.2319;0.25;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;696;Loveresse;1.94;1.94;1.1;0.23;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;700;Moutier;1.94;1.94;1.5;0.2138;0.23;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;701;Perrefitte;2;2;1.2;0.2161;0.23;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;703;Reconvilier;1.97;1.97;1.5;0.2303;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;704;Roches;1.94;1.94;1.1;0.216;0.23;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;706;Saicourt;1.95;1.95;1.4;0.2302;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;707;Saules;1.94;1.94;1.4;0.23;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;708;Schelten;2.2;2.2;1.5;0.2472;0.23;0.2764;0.306;01.01.2025;31.12.9999;definitiv;Kanton Bern;Berner Jura
2025;709;Seehof;1.74;1.74;1.2;0.2498;0.23;0.322;0.306;01.01.2025;31.12.9999;definitiv;Kanton Bern;Berner Jura
2025;711;Sorvilier;1.8;1.8;1.5;0.2448;0.253;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;713;Tavannes;1.92;1.92;1.5;0.2306;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;715;Rebévelier;2;2;1.2;0.3144;0.32;0.3116;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;716;Petit-Val (Chât/Mon/Sorn/Soub);1.79;1.79;1.2;0.3009;0.32;0.2415;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;716;Petit-Val (Châtelat/Fornet-d.);1.79;1.79;1.2;0.3172;0.32;0.3116;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;717;Valbirse;2;2;1.5;0.2301;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;723;La Neuveville;1.65;1.65;1.2;0.1759;0.207;0.138;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Berner Jura
2025;724;Nods;1.64;1.64;1.5;0.2109;0.23;0.138;0.28;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;726;Plateau de Diesse;1.85;1.85;1.3;0.1729;0.184;0.138;0.28;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;731;Aegerten;1.79;1.79;1;0.2003;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;732;Bellmund;1.3;1.3;1;0.2149;0.21;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;733;Brügg;1.69;1.69;1;0.2101;0.2;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;734;Bühl;1.55;1.55;0;0.1859;0.1836;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;735;Epsach;1.7;1.7;1.5;0.166;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;736;Hagneck;1.5;1.5;1.5;0.168;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;737;Hermrigen;1.8;1.8;1;0.1673;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;738;Jens;1.9;1.9;1;0.2002;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;739;Ipsach;1.59;1.59;1.5;0.2165;0.21;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;740;Ligerz;1.68;1.68;1.5;0.1782;0.1683;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;741;Merzligen;1.45;1.45;0.6;0.2;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;742;Mörigen;1.25;1.25;1;0.169;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;743;Nidau;1.7;1.7;1.5;0.2181;0.21;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;744;Orpund;1.85;1.85;1;0.2032;0.19;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;745;Port;1.69;1.69;1;0.2164;0.21;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;746;Safnern;1.4;1.4;1;0.199;0.19;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;747;Scheuren;1.78;1.78;1.2;0.1924;0.19;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;748;Schwadernau;1.85;1.85;1;0.2;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;749;Studen (BE);1.72;1.72;1;0.2003;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
