Steuerbares Einkommen;Einheitssteuersatz %
104400;3.8822
104500;3.8831
104600;3.884
104700;3.885
104800;3.8859
104900;3.8868
105000;3.8877
105100;3.8886
105200;3.8895
105300;3.8905
105400;3.8914
105500;3.8923
105600;3.8932
105700;3.8941
105800;3.895
105900;3.8959
106000;3.8968
106100;3.8977
106200;3.8986
106300;3.8995
106400;3.9004
106500;3.9013
106600;3.9022
106700;3.903
106800;3.9039
106900;3.9048
107000;3.9057
107100;3.9066
107200;3.9075
107300;3.9083
107400;3.9092
107500;3.9101
107600;3.911
107700;3.9118
107800;3.9127
107900;3.9136
108000;3.9144
108100;3.9153
108200;3.9162
108300;3.917
108400;3.9179
108500;3.9188
108600;3.9196
108700;3.9205
108800;3.9213
108900;3.9222
109000;3.923
109100;3.9239
109200;3.9247
109300;3.9256
109400;3.9264
109500;3.9273
109600;3.9281
109700;3.9289
109800;3.9298
109900;3.9306
110000;3.9315
110100;3.9323
110200;3.9331
110300;3.934
110400;3.9348
110500;3.9356
110600;3.9364
110700;3.9373
110800;3.9384
110900;3.9395
111000;3.9407
111100;3.9418
111200;3.9429
111300;3.9441
111400;3.9452
111500;3.9463
111600;3.9474
111700;3.9486
111800;3.9497
111900;3.9508
112000;3.9519
112100;3.953
112200;3.9541
112300;3.9553
112400;3.9564
112500;3.9575
112600;3.9586
112700;3.9597
112800;3.9608
112900;3.9619
113000;3.963
113100;3.9641
113200;3.9652
113300;3.9662
113400;3.9673
113500;3.9684
113600;3.9695
113700;3.9706
113800;3.9717
113900;3.9727
114000;3.9738
114100;3.9749
114200;3.976
114300;3.977
114400;3.9781
114500;3.9792
114600;3.9802
114700;3.9813
114800;3.9824
114900;3.9834
115000;3.9845
115100;3.9855
115200;3.9866
115300;3.9876
115400;3.9887
115500;3.9897
115600;3.9908
115700;3.9918
115800;3.9929
115900;3.9939
116000;3.995
116100;3.996
116200;3.997
116300;3.9981
116400;3.9991
116500;4.0001
116600;4.0012
116700;4.0022
116800;4.0032
116900;4.0042
117000;4.0053
117100;4.0063
117200;4.0073
117300;4.0083
117400;4.0093
117500;4.0103
117600;4.0114
117700;4.0124
117800;4.0134
117900;4.0144
118000;4.0154
118100;4.0164
118200;4.0174
118300;4.0184
118400;4.0194
118500;4.0204
118600;4.0214
118700;4.0224
118800;4.0234
118900;4.0243
119000;4.0253
119100;4.0263
119200;4.0273
119300;4.0283
119400;4.0293
119500;4.0303
119600;4.0312
119700;4.0322
119800;4.0332
119900;4.0342
120000;4.0351
120100;4.0361
120200;4.0371
120300;4.038
120400;4.039
120500;4.04
120600;4.0409
120700;4.0419
120800;4.0428
120900;4.0438
121000;4.0448
121100;4.0457
121200;4.0467
121300;4.0476
121400;4.0486
121500;4.0495
121600;4.0505
121700;4.0514
121800;4.0523
121900;4.0533
122000;4.0542
122100;4.0552
122200;4.0561
122300;4.057
122400;4.058
122500;4.0589
122600;4.0598
122700;4.0608
122800;4.0617
122900;4.0626
123000;4.0635
123100;4.0645
123200;4.0654
123300;4.0663
123400;4.0672
123500;4.0681
123600;4.0691
123700;4.07
123800;4.0709
123900;4.0718
124000;4.0727
