Steuerbares Einkommen;Einheitssteuersatz %
90600;4.4029
90700;4.4042
90800;4.4056
90900;4.4069
91000;4.4082
91100;4.4095
91200;4.4108
91300;4.4121
91400;4.4134
91500;4.4147
91600;4.416
91700;4.4173
91800;4.4186
91900;4.4199
92000;4.4211
92100;4.4224
92200;4.4237
92300;4.425
92400;4.4262
92500;4.4275
92600;4.4288
92700;4.43
92800;4.4313
92900;4.4326
93000;4.4338
93100;4.4351
93200;4.4363
93300;4.4376
93400;4.4388
93500;4.4401
93600;4.4413
93700;4.4425
93800;4.4438
93900;4.445
94000;4.4462
94100;4.4474
94200;4.4487
94300;4.4499
94400;4.4511
94500;4.4523
94600;4.4535
94700;4.4548
94800;4.456
94900;4.4572
95000;4.4584
95100;4.4596
95200;4.4608
95300;4.462
95400;4.4632
95500;4.4643
95600;4.4655
95700;4.4667
95800;4.4679
95900;4.4691
96000;4.4703
96100;4.4714
96200;4.4726
96300;4.4738
96400;4.4749
96500;4.4761
96600;4.4773
96700;4.4784
96800;4.4796
96900;4.4808
97000;4.4819
97100;4.4831
97200;4.4842
97300;4.4854
97400;4.4865
97500;4.4876
97600;4.4888
97700;4.4899
97800;4.4911
97900;4.4922
98000;4.4933
98100;4.4944
98200;4.4956
98300;4.4967
98400;4.4978
98500;4.4989
98600;4.5001
98700;4.5012
98800;4.5023
98900;4.5034
99000;4.5045
99100;4.5056
99200;4.5067
99300;4.5078
99400;4.5089
99500;4.51
99600;4.5111
99700;4.5122
99800;4.5133
99900;4.5144
100000;4.5155
100100;4.5165
100200;4.5176
100300;4.5187
100400;4.5198
100500;4.5208
100600;4.5219
100700;4.523
100800;4.5241
100900;4.5251
101000;4.5262
101100;4.5273
101200;4.5283
101300;4.5294
101400;4.5304
101500;4.5315
101600;4.5325
101700;4.5336
101800;4.5346
101900;4.5357
102000;4.5367
102100;4.5378
102200;4.5388
102300;4.5398
102400;4.5409
102500;4.5419
102600;4.5429
102700;4.544
102800;4.545
102900;4.546
103000;4.547
103100;4.5481
103200;4.5491
103300;4.5501
103400;4.5511
103500;4.5521
103600;4.5531
103700;4.5541
103800;4.5552
103900;4.5562
104000;4.5572
104100;4.5582
104200;4.5592
104300;4.5602
104400;4.5612
104500;4.5622
104600;4.5631
104700;4.5641
104800;4.5651
104900;4.5661
105000;4.5671
105100;4.5681
105200;4.5691
105300;4.57
105400;4.571
105500;4.572
105600;4.573
105700;4.5739
105800;4.5749
105900;4.5759
106000;4.5768
106100;4.5778
106200;4.5788
106300;4.5797
106400;4.5807
106500;4.5816
106600;4.5826
106700;4.5836
106800;4.5845
106900;4.5855
107000;4.5864
107100;4.5873
107200;4.5883
107300;4.5892
107400;4.5902
107500;4.5911
107600;4.5921
107700;4.593
107800;4.5939
107900;4.5949
108000;4.5958
108100;4.5967
108200;4.5976
108300;4.5986
108400;4.5995
108500;4.6004
108600;4.6013
108700;4.6023
108800;4.6032
108900;4.6041
109000;4.605
109100;4.6059
109200;4.6068
109300;4.6077
109400;4.6086
109500;4.6095
109600;4.6104
109700;4.6113
109800;4.6122
109900;4.6131
110000;4.614
110100;4.6149
110200;4.6158
110300;4.6167
110400;4.6176
110500;4.6185
110600;4.6194
110700;4.6203
110800;4.6213
110900;4.6223
111000;4.6233
111100;4.6243
111200;4.6254
111300;4.6264
111400;4.6274
111500;4.6284
111600;4.6294
111700;4.6304
111800;4.6314
111900;4.6324
112000;4.6334
112100;4.6344
112200;4.6354
112300;4.6364
112400;4.6374
112500;4.6384
112600;4.6393
112700;4.6403
112800;4.6413
112900;4.6423
113000;4.6433
113100;4.6443
113200;4.6452
113300;4.6462
113400;4.6472
113500;4.6481
113600;4.6491
113700;4.6501
113800;4.6511
113900;4.652
114000;4.653
114100;4.6539
114200;4.6549
114300;4.6559
114400;4.6568
114500;4.6578
114600;4.6587
114700;4.6597
114800;4.6606
114900;4.6616
115000;4.6625
115100;4.6635
115200;4.6644
115300;4.6654
115400;4.6663
115500;4.6672
115600;4.6682
115700;4.6691
115800;4.67
115900;4.671
116000;4.6719
116100;4.6728
116200;4.6738
116300;4.6747
116400;4.6756
116500;4.6765
116600;4.6774
116700;4.6784
116800;4.6793
116900;4.6802
117000;4.6811
117100;4.682
117200;4.6829
117300;4.6838
117400;4.6848
117500;4.6857
117600;4.6866
117700;4.6875
117800;4.6884
117900;4.6893
118000;4.6902
118100;4.6911
118200;4.692
118300;4.6929
118400;4.6938
118500;4.6946
118600;4.6955
118700;4.6964
118800;4.6973
118900;4.6982
119000;4.6991
119100;4.7
119200;4.7008
119300;4.7017
119400;4.7026
119500;4.7035
119600;4.7043
119700;4.7052
119800;4.7061
119900;4.707
120000;4.7078
120100;4.7087
120200;4.7096
120300;4.7104
120400;4.7113
120500;4.7122
120600;4.713
120700;4.7139
120800;4.7147
120900;4.7156
121000;4.7164
121100;4.7173
121200;4.7182
121300;4.719
121400;4.7199
121500;4.7207
121600;4.7215
121700;4.7224
121800;4.7232
121900;4.7241
122000;4.7249
122100;4.7258
122200;4.7266
122300;4.7274
122400;4.7283
122500;4.7291
122600;4.7299
122700;4.7308
122800;4.7316
122900;4.7324
123000;4.7333
123100;4.7341
123200;4.7349
123300;4.7357
123400;4.7365
123500;4.7374
123600;4.7382
123700;4.739
123800;4.7398
123900;4.7406
124000;4.7415
124100;4.7423
124200;4.7431
124300;4.7439
124400;4.7447
124500;4.7455
124600;4.7463
124700;4.7471
124800;4.7479
124900;4.7487
125000;4.7495
125100;4.7503
125200;4.7511
125300;4.7519
125400;4.7527
125500;4.7535
125600;4.7543
125700;4.7551
125800;4.7559
125900;4.7567
126000;4.7575
126100;4.7582
126200;4.759
126300;4.7598
126400;4.7606
126500;4.7614
126600;4.7622
126700;4.7629
126800;4.7637
126900;4.7645
127000;4.7653
127100;4.7661
127200;4.7668
127300;4.7676
127400;4.7684
127500;4.7691
127600;4.7699
127700;4.7707
127800;4.7714
127900;4.7722
128000;4.773
128100;4.7737
128200;4.7745
128300;4.7753
128400;4.776
128500;4.7768
128600;4.7775
128700;4.7783
128800;4.779
128900;4.7798
129000;4.7805
129100;4.7813
129200;4.782
129300;4.7828
129400;4.7835
129500;4.7843
129600;4.785
129700;4.7858
129800;4.7865
129900;4.7873
130000;4.788
130100;4.7887
130200;4.7895
130300;4.7902
130400;4.791
130500;4.7917
130600;4.7924
130700;4.7932
130800;4.7939
130900;4.7946
131000;4.7953
131100;4.7961
131200;4.7968
131300;4.7975
131400;4.7982
131500;4.799
131600;4.7997
131700;4.8004
131800;4.8011
131900;4.8019
132000;4.8026
132100;4.8033
132200;4.804
132300;4.8047
132400;4.8054
132500;4.8062
132600;4.8069
132700;4.8076
132800;4.8083
132900;4.809
133000;4.8097
133100;4.8104
133200;4.8111
133300;4.8118
133400;4.8125
133500;4.8132
133600;4.8139
133700;4.8146
133800;4.8153
133900;4.816
134000;4.8167
134100;4.8174
134200;4.8181
134300;4.8188
134400;4.8195
134500;4.8202
134600;4.8209
134700;4.8216
134800;4.8223
134900;4.8229
135000;4.8236
135100;4.8243
135200;4.825
135300;4.8257
135400;4.8264
135500;4.827
135600;4.8277
135700;4.8284
135800;4.8291
135900;4.8298
136000;4.8304
136100;4.8311
136200;4.8318
136300;4.8325
136400;4.8331
136500;4.8338
136600;4.8345
136700;4.8351
136800;4.8358
136900;4.8365
137000;4.8372
137100;4.8379
137200;4.8387
137300;4.8395
137400;4.8402
137500;4.841
137600;4.8418
137700;4.8426
137800;4.8433
137900;4.8441
138000;4.8449
138100;4.8456
138200;4.8464
138300;4.8471
138400;4.8479
138500;4.8487
138600;4.8494
138700;4.8502
138800;4.8509
138900;4.8517
139000;4.8524
139100;4.8532
139200;4.854
139300;4.8547
139400;4.8555
139500;4.8562
139600;4.8569
139700;4.8577
139800;4.8584
139900;4.8592
140000;4.8599
140100;4.8607
140200;4.8614
140300;4.8622
140400;4.8629
140500;4.8636
140600;4.8644
140700;4.8651
140800;4.8658
140900;4.8666
141000;4.8673
141100;4.868
141200;4.8688
141300;4.8695
141400;4.8702
141500;4.871
141600;4.8717
141700;4.8724
141800;4.8731
141900;4.8739
142000;4.8746
142100;4.8753
142200;4.876
142300;4.8767
142400;4.8775
142500;4.8782
142600;4.8789
142700;4.8796
142800;4.8803
142900;4.881
143000;4.8817
143100;4.8825
143200;4.8832
143300;4.8839
143400;4.8846
143500;4.8853
143600;4.886
143700;4.8867
143800;4.8874
143900;4.8881
144000;4.8888
144100;4.8895
144200;4.8902
144300;4.8909
144400;4.8916
144500;4.8923
144600;4.893
144700;4.8937
144800;4.8944
144900;4.8951
145000;4.8958
145100;4.8965
145200;4.8972
145300;4.8979
145400;4.8986
145500;4.8992
145600;4.8999
145700;4.9006
145800;4.9013
145900;4.902
146000;4.9027
146100;4.9034
146200;4.904
146300;4.9047
146400;4.9054
146500;4.9061
146600;4.9068
146700;4.9074
146800;4.9081
146900;4.9088
147000;4.9095
147100;4.9101
147200;4.9108
147300;4.9115
147400;4.9121
147500;4.9128
147600;4.9135
147700;4.9142
147800;4.9148
147900;4.9155
148000;4.9161
148100;4.9168
148200;4.9175
148300;4.9181
148400;4.9188
148500;4.9195
148600;4.9201
148700;4.9208
148800;4.9214
148900;4.9221
149000;4.9228
149100;4.9234
149200;4.9241
149300;4.9247
149400;4.9254
149500;4.926
149600;4.9267
149700;4.9273
149800;4.928
149900;4.9286
150000;4.9293
150100;4.9299
150200;4.9306
150300;4.9312
150400;4.9318
150500;4.9325
150600;4.9331
150700;4.9338
150800;4.9344
150900;4.9351
151000;4.9357
151100;4.9363
151200;4.937
151300;4.9376
151400;4.9382
151500;4.9389
151600;4.9395
151700;4.9401
151800;4.9408
151900;4.9414
152000;4.942
152100;4.9427
152200;4.9433
152300;4.9439
152400;4.9446
152500;4.9452
152600;4.9458
152700;4.9464
152800;4.9471
152900;4.9477
153000;4.9483
153100;4.9489
153200;4.9495
153300;4.9502
153400;4.9508
153500;4.9514
153600;4.952
153700;4.9526
153800;4.9533
153900;4.9539
154000;4.9545
154100;4.9551
154200;4.9557
154300;4.9563
154400;4.9569
154500;4.9575
154600;4.9582
154700;4.9588
154800;4.9594
154900;4.96
155000;4.9606
155100;4.9612
155200;4.9618
155300;4.9624
155400;4.963
155500;4.9636
155600;4.9642
155700;4.9648
155800;4.9654
155900;4.966
156000;4.9666
